behaviours,loss_mean,var
1,0.34882275025979487,0.11860269867992372
2,0.3806334026404557,0.03861521889158738
3,0.5356232862788473,0.10494879371436149
4,0.5788710304366093,0.15340663598601065
5,0.5172585492976619,0.056874096975991176
6,0.6250718361717359,0.061387962426043385
7,0.5579890789513513,0.04110338886755678
