t,x1,x2,x3
1.0,0.0,0.0,0.0
2.0,-0.0021052927082892362,0.004833217600805608,-0.002247434581424059
3.0,-0.004232943931351295,0.009644775444522958,-0.004430222674945468
4.0,-0.0064054962908798516,0.014437342080269568,-0.006529952431058363
5.0,-0.008645850730788307,0.01921380147473317,-0.008529071640175861
6.0,-0.010977454133173805,0.023977378733474435,-0.010410904261078938
7.0,-0.013424508568649993,0.028731750041626508,-0.012159676447166173
8.0,-0.016012114301132925,0.03348112617520859,-0.013760516210269379
9.0,-0.01876651515322824,0.03823037859262528,-0.015199450681238912
10.0,-0.02171531635375673,0.042985099085341455,-0.01646341971499154
11.0,-0.024887627563092183,0.047751660941224426,-0.017540263132507315
12.0,-0.028314263543385128,0.05253727255900842,-0.018418675972202668
13.0,-0.03202807409741862,0.05735000543874554,-0.019088191299276466
14.0,-0.03606403801390812,0.062198754967036876,-0.01953917859604254
15.0,-0.04045933699592212,0.06709328550672539,-0.01976281876285983
16.0,-0.04525371304576555,0.07204402396340386,-0.01975100679692557
17.0,-0.05048934237661414,0.07706173990350808,-0.01949631951454374
18.0,-0.056210743219429246,0.08215753889688647,-0.01899198317465354
19.0,-0.06246476901463497,0.08734217502346497,-0.01823187257453198
20.0,-0.06929963836549133,0.09262653121943347,-0.0172104892948129
21.0,-0.07676657596616979,0.09801953339785113,-0.015922795944242913
22.0,-0.08491540694951002,0.10352641518531223,-0.01436424438129928
23.0,-0.09379230234240597,0.10914871733339403,-0.01253080015189933
24.0,-0.1034397790658062,0.11488363317276142,-0.010418939663693658
25.0,-0.11389419010277925,0.1207189884017983,-0.008025650186066177
26.0,-0.12517726572800206,0.1266362442279175,-0.005348488772667203
27.0,-0.13730293623731354,0.13259760855517866,-0.002385552474508886
28.0,-0.15024055575864712,0.1385435846586506,0.0008645805671442701
29.0,-0.16391033105584696,0.14439297118441052,0.0044019629696637665
30.0,-0.17818332152866712,0.15004317304401776,0.008225206781903143
31.0,-0.19288087803938625,0.15536580302467054,0.012331483484197601
32.0,-0.20773257652239724,0.16016562372196164,0.016716523988364776
33.0,-0.22231732044647048,0.16421613565770846,0.021373616469351715
34.0,-0.23608679434977467,0.167271962238264,0.02629273566999273
35.0,-0.24836815985897476,0.1690688497545169,0.03146078930815001
36.0,-0.2583640556892318,0.16932366738189122,0.03685786494707138
37.0,-0.26515259764420285,0.16777330486744568,0.042457107470099384
38.0,-0.2678885567698999,0.1642658411032399,0.048224719080670615
39.0,-0.26556377081517657,0.1586389012181308,0.05411995930231667
40.0,-0.25716034482125555,0.15091835854854393,0.06009515767487947
41.0,-0.24220342232750552,0.1413361236937807,0.06608880637565337
42.0,-0.22076388297445726,0.13033014451601838,0.0720209016007292
43.0,-0.19345834250380503,0.11854440614031006,0.07780220900979978
44.0,-0.16148654120012723,0.10680613109878744,0.08333498750090698
45.0,-0.1266895168467466,0.09590773812910007,0.08851298921044214
46.0,-0.09094061955274504,0.08647868730285403,0.09322145951314567
47.0,-0.056020514740261165,0.07894782850654093,0.0973383229564142
48.0,-0.023625943298511965,0.07353890603051627,0.10077286733224432
49.0,0.004630278416205055,0.0702705585689996,0.10339882626548959
50.0,0.027624399404272817,0.06897297695504577,0.10509975958215317
51.0,0.0452937551903113,0.0693120520113145,0.10580212579103561
52.0,0.05779908428903657,0.07089590875321455,0.10547528208373491
53.0,0.06554040325663427,0.07337855271980594,0.1041314843346465
54.0,0.06915753115527211,0.07646176208277992,0.10182588710096328
55.0,0.0695250209344652,0.07989508764645915,0.09865642794666256
56.0,0.06738364436657202,0.08347972857349557,0.09475225707587911
57.0,0.06330514353567515,0.08708970880155062,0.09028099233387628
58.0,0.057842871154972005,0.09063498554884183,0.0854233728412183
59.0,0.05144294804748288,0.09404363962155583,0.08035910544170013
60.0,0.04444426314605043,0.09726185653857823,0.07526686470234742
61.0,0.037080423763647695,0.1002539265314931,0.07032288253507302
62.0,0.029503482324903563,0.10300048919127414,0.06565628259500317
63.0,0.0218304660571324,0.10547579874241098,0.0613575554920838
64.0,0.014177361254808594,0.1076499614836622,0.05748943465038108
65.0,0.00666142042081213,0.10949696373037815,0.05407860144858485
66.0,-0.0005988377335712312,0.11099412855112178,0.05111568522000877
67.0,-0.007483628288650382,0.1121221157676686,0.04855526325259005
68.0,-0.013829267718574996,0.1128634410111815,0.04632006175027229
69.0,-0.019293603628129413,0.11319129071317198,0.04434949327505919
70.0,-0.02343960398404128,0.11308194988848688,0.04257130024867509
71.0,-0.025742830296665856,0.1125025033321726,0.04091002174364533
72.0,-0.025590841247595045,0.1114076618565043,0.03929416809054413
73.0,-0.022283192689657977,0.10973976229098602,0.037656220877994605
74.0,-0.015179045635530884,0.10742876748235067,0.03593338101901678
75.0,-0.003567937583526,0.1044057919324622,0.03407821955216123
76.0,0.013252818089071632,0.10057748610924548,0.032046415384350845
77.0,0.03549060257037252,0.09584536530488219,0.029799061820351587
78.0,0.06285204152295304,0.0901414571961142,0.027305575400921402
79.0,0.09454300508385355,0.08342834057217363,0.024543695902810213
80.0,0.1291884229237529,0.07569993341494195,0.021499486338759956
81.0,0.16480234548565115,0.06702940819907015,0.01816733642839685
82.0,0.19948089651815862,0.05755710911849473,0.014545835304340093
83.0,0.23149960050530866,0.04746725316360726,0.010632118384667082
84.0,0.25931089158823356,0.03700060611401217,0.006431490772581578
85.0,0.2815441135651635,0.026454482538527807,0.0019590124828459472
86.0,0.2971411934839054,0.016182745795184975,-0.002760501558219145
87.0,0.3061511069587006,0.006573801987928252,-0.007692481512734325
88.0,0.3091049680696327,-0.0021104975609657953,-0.012792594604333848
89.0,0.3067185617307547,-0.009656045846650552,-0.018007246743180445
90.0,0.2999010952451393,-0.015911256626593543,-0.0232758348981214
91.0,0.2897455625185197,-0.020797269078027637,-0.028531230674211296
92.0,0.27722728013464437,-0.024307947797950483,-0.03369972376077906
93.0,0.2631476467059378,-0.026504502283253226,-0.038701021931428096
94.0,0.24820012734548566,-0.027473458161558148,-0.04344879861702036
95.0,0.2329329726574164,-0.027334661096817144,-0.047864670227194324
96.0,0.21774921873690037,-0.026214961007132356,-0.05187795128922053
97.0,0.2029167594907018,-0.02424313666046174,-0.05542709846106244
98.0,0.18861493123745293,-0.021549895674619002,-0.05846242662098337
99.0,0.17494407040378854,-0.01826039978775262,-0.06094610886754647
100.0,0.16196544100015905,-0.014474138894568197,-0.06285222205925164
101.0,0.14970423581012585,-0.010281773909683318,-0.06417075737804757
102.0,0.13815083834183314,-0.005761517742268506,-0.06490563873795761
103.0,0.12728538786680743,-0.0009788338418168531,-0.06506919769450449
104.0,0.11708538687709993,0.004013528370664321,-0.06468277861974868
105.0,0.1075291258712976,0.009172204562903024,-0.06377673870228856
106.0,0.09859836302844754,0.014462115120235321,-0.06238775044420135
107.0,0.09027919543659653,0.019850642784038475,-0.060553517891791406
108.0,0.08256614790455657,0.02530486021008515,-0.05831555612557323
109.0,0.07546018238889758,0.030791529968543667,-0.05571703551543466
110.0,0.06896754263428113,0.03627573913087699,-0.05280273911633628
111.0,0.06309969916036132,0.04171072466176082,-0.04961897822699794
112.0,0.057869918594324596,0.04703639422911609,-0.046211681073692286
113.0,0.05329516985780444,0.052178152871838065,-0.04262772322370376
114.0,0.049391988173624925,0.057046639786830125,-0.03891482211548915
115.0,0.04617374506087814,0.061537728329003845,-0.03512101477980141
116.0,0.04365064833492389,0.0655424222118339,-0.03129465783968942
117.0,0.04182972737872752,0.06892671626015956,-0.027484200416203648
118.0,0.04071407285805719,0.07154315788679275,-0.023738078456624574
119.0,0.0403018072623166,0.07327533137570975,-0.020105197760261463
120.0,0.04058599740927082,0.074038371272024,-0.016631937281311047
121.0,0.04155460601773557,0.07377896238198625,-0.013361884597405433
122.0,0.04319150668658571,0.07248386486856684,-0.010335574133186962
123.0,0.04547353995929926,0.0702118213415359,-0.007588400383964276
124.0,0.048367724014390476,0.06707140456365263,-0.005152442308707226
125.0,0.05183327945236174,0.0632287098570514,-0.003051043592891744
126.0,0.05582163981493489,0.05890840636644985,-0.0012976827189276903
127.0,0.06027645158505064,0.05438695454545603,0.00010402703384099183
128.0,0.06513296775269152,0.04993168740933237,0.0011609751456414978
129.0,0.07030907335196732,0.045802363583882455,0.0018902726753823105
130.0,0.07570624847236988,0.0422183749840562,0.002317561649185645
131.0,0.08121589789331164,0.03935196049916078,0.0024775558244595143
132.0,0.08671949437779733,0.03732820599286085,0.0024140447349189392
133.0,0.09208857867242412,0.03622248819803208,0.002179893690585964
134.0,0.09718949190443571,0.03603354714400979,0.0018314018856289648
135.0,0.10187638406610668,0.03671790499725056,0.0014214625865383544
136.0,0.10600002150588768,0.03820593259838298,0.0010021412841547304
137.0,0.10943115099122423,0.04039972286319103,0.0006196783600542262
138.0,0.11206082971219032,0.04317309078261403,0.0003144655184664072
139.0,0.11380042528148844,0.04637497413396923,0.00012104403381542454
140.0,0.1145956048625154,0.04988483876673425,6.42196372217253e-5
141.0,0.11442892574941718,0.05358155614842614,0.0001571643707900125
142.0,0.11332080481726356,0.05733766334708798,0.00040655656249936786
143.0,0.11134350919158134,0.0610278262568667,0.0008115415403286669
144.0,0.10862115661440833,0.06452883959801323,0.0013637316322565656
145.0,0.10532739042439955,0.06772040857346538,0.002047382523248874
146.0,0.10165917661588758,0.07048620531462343,0.002844315759238084
147.0,0.097831320136801,0.07270857033910849,0.0037341793350644083
148.0,0.09405988249022494,0.07427709696058547,0.00469482822022999
149.0,0.0905586829371486,0.07508968218949216,0.005703274228281106
150.0,0.08753589047828608,0.07505255006389522,0.006735710354945978
151.0,0.08515576866552609,0.07408681058456118,0.007769243842537449
152.0,0.08354121318744741,0.07212222906019515,0.008782307746437056
153.0,0.08277912228585448,0.06910384849006385,0.009753743421917652
154.0,0.08291888888692484,0.06499986071478552,0.010663102185635166
155.0,0.08397240060120899,0.059801606416330276,0.011490654086311733
156.0,0.08591775007578495,0.053524482343432905,0.012217384043119417
157.0,0.0887094246582977,0.046205004035319464,0.012824019612769274
158.0,0.09228371822906382,0.037898031556826695,0.01329107979421655
159.0,0.09657556708864323,0.028687992618716116,0.013599007766575816
160.0,0.10151931822283723,0.018689573785506043,0.013728170889120962
161.0,0.10704879108792296,0.008047624315892593,0.013658906818119314
162.0,0.11310852310185299,-0.0030723306518956567,0.013371552215473637
163.0,0.11965823520393438,-0.014488463227771304,0.012845226391253383
164.0,0.12666488864147063,-0.026009490327260156,0.012060801083249511
165.0,0.13410532537263933,-0.037439618252211135,0.011001548315236951
166.0,0.14196626806649432,-0.04857854269079956,0.009653150711366264
167.0,0.15023889795000356,-0.0592238802945678,0.008006266297489533
168.0,0.1589047499853074,-0.06920192066390586,0.006053622867112871
