epochs,loss_mean
0,1.1766952257826402
5,0.8842609606871614
10,0.7714516184151178
15,0.7216487141739055
20,0.6814920438852621
25,0.6563515281472909
30,0.6369460203571635
35,0.6179558586024089
40,0.5770968672229229
45,0.5679947455059432
50,0.5631183160669536
55,0.5589389496176709
60,0.5568878210622856
65,0.5548392250927019
70,0.5529392204642611
75,0.5515128241987077
80,0.5510280822078168
85,0.5505104785551838
90,0.5499812553908604
95,0.5490105908686468
100,0.5486965154394061
105,0.5482432499906518
110,0.5475868573397844
115,0.547453202247857
120,0.5472868014738618
125,0.547158094449179
130,0.5470514127011393
135,0.5469389258472486
140,0.5468530896106011
145,0.5467622596797546
150,0.5466849158343181
155,0.5466104929553989
160,0.5465305823596869
165,0.5464502490968874
170,0.5463901331750223
175,0.546316914505413
180,0.5462480810337504
185,0.5461690824564519
190,0.5461003449365088
195,0.5460295228644466
200,0.5459657850147253
