time,behaviours,loss,epochs
2024-01-01T18:31:52.734,1,0.05431594127750758,200
2024-01-01T18:32:08.885,1,0.11618579754876865,200
2024-01-01T18:32:08.992,1,0.2447414230955469,200
2024-01-01T18:32:10.565,1,0.07525605894906053,200
2024-01-01T18:33:55.462,2,0.3181151112890348,200
2024-01-01T18:34:01.3,2,0.03792291399675086,200
2024-01-01T18:34:13.234,2,0.24257947604842836,200
2024-01-01T18:35:44.694,3,0.11997076631927678,200
2024-01-01T18:35:50.801,3,0.1523093988072245,200
2024-01-01T18:35:51.786,2,0.0552893668693189,200
2024-01-01T18:35:55.64,2,0.12182700264364076,200
2024-01-01T18:35:58.723,3,0.09202269111964127,200
2024-01-01T18:37:14.947,4,0.15113507686481428,200
2024-01-01T18:37:17.147,4,0.2226247997852337,200
2024-01-01T18:37:30.032,4,0.053951911120252646,200
2024-01-01T18:38:11.367,5,0.10109434575377532,200
2024-01-01T18:38:23.409,5,0.21785594913925593,200
2024-01-01T18:38:28.213,5,0.13329888403130075,200
2024-01-01T18:38:31.088,3,0.1333579038672739,200
2024-01-01T18:38:32.93,3,0.23825647063008795,200
2024-01-01T18:39:18.877,1,0.056116462179046804,200
2024-01-01T18:39:59.314,4,0.1749467742204675,200
2024-01-01T18:40:01.798,4,0.09707383885061016,200
2024-01-01T18:40:57.614,5,0.23183793453469184,200
2024-01-01T18:41:07.508,5,0.14379271064890792,200
