time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,loss
2024-01-06T19:50:59.698,181301958901245462530427374563649669246,0,5,5,1,0.7853981633974483,1.0,0.1,0.8834788825974474
2024-01-06T19:50:59.943,181495282748314893800898004631165090897,0,5,5,1,0.7853981633974483,1.0,0.1,0.9854030829864635
2024-01-06T19:51:00.152,181661275256161779295640761427512016114,0,5,5,1,0.7853981633974483,1.0,0.1,0.3940219169599785
2024-01-06T19:51:00.392,181851978235615238698942863851257545604,0,5,5,1,0.7853981633974483,1.0,0.1,1.5914741412810596
2024-01-06T19:51:00.369,181833584625405927090367993792143480093,0,5,5,1,0.7853981633974483,1.0,0.1,1.1307424685970207
2024-01-06T19:51:00.569,181992430752994025946530406191496171159,0,5,5,1,0.7853981633974483,1.0,0.1,0.5407987917126017
2024-01-06T19:51:00.737,182124668894483334269889041273864221383,0,5,5,1,0.7853981633974483,1.0,0.1,2.0807786533145256
2024-01-06T19:51:00.766,182148236895986452482263054686481090377,0,5,5,1,0.7853981633974483,1.0,0.1,1.0448248984650772
2024-01-06T19:51:00.795,182171404002987248515537268979428296216,0,5,5,1,0.7853981633974483,1.0,0.1,0.3003665120939934
2024-01-06T19:51:00.939,182285252495675370940798988519630315684,0,5,5,1,0.7853981633974483,1.0,0.1,1.9362732746029692
2024-01-06T19:51:01.156,182457080157691432010520577529963483523,0,5,5,1,0.7853981633974483,1.0,0.1,0.36324795465751625
2024-01-06T19:51:01.311,182580050188729821688565017044166117600,0,5,5,1,0.7853981633974483,1.0,0.1,1.8643123982132095
2024-01-06T19:51:01.326,182591581847783772863628991781755498762,0,5,5,1,0.7853981633974483,1.0,0.1,2.1350857353029977
2024-01-06T19:51:01.666,182860824338562922616829778945862399478,0,5,5,1,0.7853981633974483,1.0,0.1,1.7817223855894035
2024-01-06T19:51:00.496,181933900155654988024195035278682878844,0,5,5,6,0.7853981633974483,1.0,0.1,1.0942354132749497
2024-01-06T19:51:01.911,183055512653047174545606835198025971899,0,5,5,1,0.7853981633974483,1.0,0.1,1.0678852711808189
2024-01-06T19:51:02.07,183181265810978365300195650333583216014,0,5,5,1,0.7853981633974483,1.0,0.1,0.5573442126159173
2024-01-06T19:51:02.166,183257334512827885805578885308330523203,0,5,5,1,0.7853981633974483,1.0,0.1,2.1707194814504605
2024-01-06T19:51:02.457,183487665042326104800149304270393250848,0,5,5,1,0.7853981633974483,1.0,0.1,1.5656662801772587
2024-01-06T19:51:02.637,183630688513578479928388215841818577811,0,5,5,1,0.7853981633974483,1.0,0.1,1.9759595849101401
