time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T20:20:37.386,43292886236070177410808632118397865677,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3139095918753478
2024-02-20T20:20:37.544,43418326601215761852358693472377314104,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.4867972770866327
2024-02-20T20:20:37.711,43550060851591479451917472665241405534,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.7906682920037289
2024-02-20T20:20:37.934,43727071461542898661936365533043731632,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.1118428062646468
2024-02-20T20:20:38.16,43906318999434745614317480548296319539,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.2443344441111952
2024-02-20T20:20:38.372,44074066411081322070584144505830745123,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.36373470245033973
2024-02-20T20:20:38.754,44376889916998467791907218429918327992,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.9924388417856762
2024-02-20T20:20:39.056,44615804025623482185328951102734720501,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,2.4864929903569215
2024-02-20T20:20:39.426,44909250086225439583300359018552462890,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.6745082721833461
2024-02-20T20:20:39.635,45074848830104629187492817507806257679,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3808634406708242
2024-02-20T20:20:44.712,44074066411081322070584144505830745123,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.36213171681340883
2024-02-20T20:20:45.073,43292886236070177410808632118397865677,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3116007642099263
2024-02-20T20:20:45.77,43550060851591479451917472665241405534,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.7878653445783929
2024-02-20T20:20:45.947,44376889916998467791907218429918327992,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.989555442403968
2024-02-20T20:20:46.517,43906318999434745614317480548296319539,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.24358185378135055
2024-02-20T20:20:47.605,44909250086225439583300359018552462890,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.6737567458184403
2024-02-20T20:20:49.035,43418326601215761852358693472377314104,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.4818172313821512
2024-02-20T20:20:49.775,43727071461542898661936365533043731632,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.1082537653332456
2024-02-20T20:20:50.066,43292886236070177410808632118397865677,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3087192039935382
2024-02-20T20:20:50.241,45074848830104629187492817507806257679,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3771491746928382
2024-02-20T20:20:50.41,44615804025623482185328951102734720501,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,2.480762586164384
2024-02-20T20:20:51.036,44074066411081322070584144505830745123,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.3604437548707334
2024-02-20T20:20:52.689,43906318999434745614317480548296319539,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,0.24310197101069064
2024-02-20T20:20:53.138,44376889916998467791907218429918327992,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.9862119960651966
2024-02-20T20:20:53.737,43550060851591479451917472665241405534,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.7856292718681853
2024-02-20T20:20:54.249,44909250086225439583300359018552462890,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.6729614789480726
2024-02-20T20:20:55.266,43292886236070177410808632118397865677,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3054439541469491
2024-02-20T20:20:57.746,44074066411081322070584144505830745123,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.35937407027573887
2024-02-20T20:20:58.658,44615804025623482185328951102734720501,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,2.476710849601576
2024-02-20T20:20:58.864,43727071461542898661936365533043731632,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.1047569021392678
2024-02-20T20:20:59.436,43292886236070177410808632118397865677,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.30223099246213
2024-02-20T20:21:00.348,45074848830104629187492817507806257679,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.3734452340544447
2024-02-20T20:21:00.744,43550060851591479451917472665241405534,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,0.7836086389223875
2024-02-20T20:21:01.187,44909250086225439583300359018552462890,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.37402216454832155
2024-02-20T20:21:02.501,44376889916998467791907218429918327992,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.9838809442337114
2024-02-20T20:21:02.649,43906318999434745614317480548296319539,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,0.24271847530061122
2024-02-20T20:21:02.854,44074066411081322070584144505830745123,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.3579092931058176
2024-02-20T20:21:03.205,43418326601215761852358693472377314104,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.475129288802684
2024-02-20T20:21:04.092,43292886236070177410808632118397865677,25,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.2984119620704264
2024-02-20T20:21:07.486,44615804025623482185328951102734720501,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.000245,10,2.474680407016281
2024-02-20T20:21:07.887,43727071461542898661936365533043731632,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.1008687073750447
2024-02-20T20:21:08.122,44909250086225439583300359018552462890,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.3731151240082915
2024-02-20T20:21:09.227,43906318999434745614317480548296319539,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,0.24222103243238757
2024-02-20T20:21:09.49,44376889916998467791907218429918327992,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.9806573021426116
2024-02-20T20:21:09.782,45074848830104629187492817507806257679,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.368183364726164
2024-02-20T20:21:10.049,43292886236070177410808632118397865677,30,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.2965951019360045
2024-02-20T20:21:10.106,43550060851591479451917472665241405534,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00035,10,0.781301724961438
2024-02-20T20:21:10.416,44074066411081322070584144505830745123,25,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.35627701917107574
2024-02-20T20:21:14.206,44909250086225439583300359018552462890,25,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.3722179495163463
2024-02-20T20:21:14.992,43292886236070177410808632118397865677,35,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.2939465498215748
2024-02-20T20:21:15.06,43418326601215761852358693472377314104,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.4690173008636862
2024-02-20T20:21:15.431,44074066411081322070584144505830745123,30,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.3542470665542199
