time,behaviours,loss,epochs,min_angle
2024-01-01T22:30:39.808,3,0.051837575860975905,150,0.8
2024-01-01T22:32:04.858,3,0.07331828346758323,150,0.6000000000000001
2024-01-01T22:32:11.812,3,0.18688898992565303,150,0.30000000000000004
2024-01-01T22:32:20.672,3,0.05380466265401371,150,0.9
2024-01-01T22:32:33.073,3,0.12400582026446212,150,0.30000000000000004
2024-01-01T22:32:40.499,3,0.057021892938770476,150,0.30000000000000004
2024-01-01T22:32:46.779,3,0.16904831262692074,150,0.6000000000000001
2024-01-01T22:32:54.953,3,0.07545595435643145,150,0.0
2024-01-01T22:32:56.151,3,0.0894109349483949,150,0.7000000000000001
2024-01-01T22:32:56.912,3,0.044994371281731595,150,0.4
2024-01-01T22:33:07.359,3,0.006788436036769835,150,0.4
2024-01-01T22:33:11.445,3,0.020942266490115744,150,0.0
2024-01-01T22:33:12.971,3,0.06816245362169739,150,0.7000000000000001
2024-01-01T22:33:17.089,3,0.06051742597289867,150,0.1
2024-01-01T22:33:18.994,3,0.09054977320769995,150,0.6000000000000001
2024-01-01T22:33:19.488,3,0.023582773791481933,150,0.8
2024-01-01T22:33:20.979,3,0.10837383655335653,150,0.2
2024-01-01T22:33:21.782,3,0.05393980814846993,150,0.9
2024-01-01T22:33:22.778,3,0.06311673821190093,150,0.5
2024-01-01T22:33:23.514,3,0.010634736112990642,150,0.9
2024-01-01T22:33:23.891,3,0.09037740475692702,150,0.8
2024-01-01T22:33:24.496,3,0.0448916423245213,150,0.6000000000000001
2024-01-01T22:33:25.647,3,0.08896486528488519,150,0.0
2024-01-01T22:33:26.481,3,0.07470424576399966,150,1.0
2024-01-01T22:33:27.197,3,0.06033770516752823,150,0.2
2024-01-01T22:33:28.019,3,0.07045850195154897,150,0.2
2024-01-01T22:33:29.743,3,0.08194062651801139,150,0.1
2024-01-01T22:33:30.209,3,0.0663702724834704,150,0.30000000000000004
2024-01-01T22:33:31.742,3,0.08065296313931224,150,0.1
2024-01-01T22:33:32.336,3,0.05873522548406801,150,0.0
2024-01-01T22:33:34.423,3,0.12674132598264407,150,0.4
2024-01-01T22:33:34.054,3,0.11235643603505019,150,0.8
2024-01-01T22:33:36.052,3,0.08691661313023528,150,1.0
2024-01-01T22:33:36.542,3,0.14891752392129048,150,0.7000000000000001
2024-01-01T22:33:37.866,3,0.0746771942622515,150,0.7000000000000001
2024-01-01T22:33:38.311,3,0.005450550655225717,150,0.1
2024-01-01T22:33:39.756,3,0.039793852657022497,150,1.0
2024-01-01T22:33:54.068,3,0.07501808865831613,150,0.6000000000000001
2024-01-01T22:33:54.068,3,0.034223769026652306,150,0.7000000000000001
2024-01-01T22:33:54.07,3,0.03686172794055667,150,0.1
2024-01-01T22:33:54.068,3,0.09875740578637131,150,0.9
2024-01-01T22:33:54.068,3,0.06573528563957465,150,0.8
2024-01-01T22:33:54.069,3,0.04556100464246823,150,0.2
2024-01-01T22:33:54.068,3,0.08012175349783446,150,0.0
2024-01-01T22:33:55.665,3,0.07685671486588337,150,0.4
2024-01-01T22:33:55.662,3,0.05598775193026569,150,0.5
2024-01-01T22:34:06.624,3,0.034862143867368516,150,0.5
2024-01-01T22:34:06.624,3,0.09141820077044482,150,1.0
2024-01-01T22:34:06.624,3,0.08538872500332743,150,0.5
2024-01-01T22:34:06.624,3,0.1534294305345576,150,0.9
2024-01-01T22:34:11.35,3,0.052341456952495896,150,0.30000000000000004
2024-01-01T22:34:21.133,3,0.23896555302896416,150,0.4
2024-01-01T22:34:21.777,3,0.08155115096796652,150,0.5
2024-01-01T22:34:21.89,3,0.027264796462860428,150,1.0
2024-01-01T22:34:23.078,3,0.024966343832703797,150,0.2
