time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T20:32:25.228,263820499657680604017798166198645379804,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,1.3604366687405653
2024-02-20T20:32:25.834,264178642643510084526093364401605577763,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.59380077590755
2024-02-20T20:32:25.962,264067359558724173982787537649191216091,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.4246243175743864
2024-02-20T20:32:26.113,263950207251659206735628919045772936492,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.7227268721052265
2024-02-20T20:32:26.18,264468094812439697858795126883462324291,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,1.8751214928007194
2024-02-20T20:32:26.36,264291133165492712461528095062929733846,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.5316423732888423
2024-02-20T20:32:26.467,264604120060097188014033678427379957367,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.8516838055672754
2024-02-20T20:32:26.659,264797570672226642104605334004331432697,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,1.2634904343688302
2024-02-20T20:32:26.734,264967422383869597420426288734741114761,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.3917120632032563
2024-02-20T20:32:26.9,265145494809655032802809523823877514433,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,5.077681563331457
2024-02-20T20:32:31.036,264178642643510084526093364401605577763,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.592958753713605
2024-02-20T20:32:32.637,264967422383869597420426288734741114761,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.3913339027959324
2024-02-20T20:32:32.837,263820499657680604017798166198645379804,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,1.3598186030541501
2024-02-20T20:32:33.202,264797570672226642104605334004331432697,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,1.2632289531043526
2024-02-20T20:32:33.487,264291133165492712461528095062929733846,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.5312662247915632
