time                    ,uuid                                    ,epochs ,rows ,columns ,behaviours ,min_angle          ,mag_goals ,mag_modifier ,loss
2024-01-06T14:52:00.701 ,260423610401357673864857876014236188239 ,     0 ,   3 ,      2 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.13820411548652048
2024-01-06T14:52:01.095 ,260736236173997409401532343616780852187 ,     0 ,   3 ,      2 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.23477065215769258
2024-01-06T14:52:00.853 ,260544255085826269882082770373155806277 ,     0 ,   3 ,     10 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.5293872697950528
2024-01-06T14:52:01.514 ,261067443802960590437830551372894853201 ,     0 ,   3 ,      3 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.2331563932081688
2024-01-06T14:52:01.619 ,261151180840203541557529278507176449437 ,     0 ,   3 ,      3 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.2860730797509552
2024-01-06T14:52:01.246 ,260855360311571031659758739932200130414 ,     0 ,   4 ,      8 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.30394358053794673
2024-01-06T14:52:01.821 ,261311151215417717825896227245413001739 ,     0 ,   3 ,      4 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.05989603558722
2024-01-06T14:52:01.455 ,261021022437980232674434762509751700620 ,     0 ,   3 ,     10 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.3063640595072408
2024-01-06T14:52:01.648 ,261174179191218182211128188020550835542 ,     0 ,   3 ,      9 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.14662721568939296
2024-01-06T14:52:02.149 ,261571223997123791653653232991236270485 ,     0 ,   3 ,      2 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.22431804926292587
2024-01-06T14:52:02.178 ,261594175603522548888305505027768350132 ,     0 ,   3 ,      4 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.7464685464008255
2024-01-06T14:52:02.232 ,261636725880482459695814268672694557881 ,     0 ,   3 ,      3 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.2695274949865645
2024-01-06T14:52:02.156 ,261576194772039936599769902374368750513 ,     0 ,   3 ,      9 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.24024049752029406
2024-01-06T14:52:02.506 ,261853402228452970373816231833779376854 ,     0 ,   3 ,      3 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.2450377848182259
2024-01-06T14:52:01.88  ,261357976644026898333862649484444231387 ,     0 ,   4 ,      9 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.29554662481163757
2024-01-06T14:52:02.519 ,261863694759045198457101691863371315872 ,     0 ,   3 ,      5 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.10032195708550234
2024-01-06T14:52:02.751 ,262047673802802397274985586662858573449 ,     0 ,   3 ,      4 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.597499945136776
2024-01-06T14:52:02.451 ,261809684920659224454232835906702476977 ,     0 ,  10 ,      3 ,         3 ,0.7853981633974483 ,      1.0 ,       0.001 ,0.22826183189578475
