time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-18T17:31:12.493,43858520965387537596487439303184359414,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.5343805286090597
2024-02-18T17:31:14.905,44009264587251627666998548220331564201,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.001,10,0.8117165544499237
2024-02-18T17:31:14.986,44520824194692104500805455060891555571,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00030000000000000003,10,0.8532125400254018
2024-02-18T17:31:15.086,44008935790377193469565114476816106188,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,1.1284760355445569
2024-02-18T17:31:15.161,45456358260476789224492982069831070890,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,1.125242391411092
2024-02-18T17:31:15.248,44009212296664368251575526044103826339,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.001,10,0.265339554575778
2024-02-18T17:31:15.342,44009064298456791609720281712993710683,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0008,10,0.19023826131383734
2024-02-18T17:31:15.434,44406101023089824597392691837165799548,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,0.1947333439388074
2024-02-18T17:31:15.573,45670119012066774978493671124981980999,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0007,10,0.0023381482441480225
2024-02-18T17:31:15.575,44274648824972657777394061549421399858,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0006000000000000001,10,0.0014279863218663385
2024-02-18T17:31:15.577,45562254464037029909299842951244215809,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00030000000000000003,10,0.6921111991760615
2024-02-18T17:31:15.772,45342829057283599285188225712308715173,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0007,10,0.39002366451239956
2024-02-18T17:31:15.831,44999710900193323860163320969118827637,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,2.374872353249531
2024-02-18T17:31:16.037,44651379530009609847806585926017413759,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0005,10,0.4852800489423337
2024-02-18T17:31:16.169,44274648824972657777394061549421399858,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002058,10,0.0014279863218663246
2024-02-18T17:31:16.171,44889108385323410845728374242837860633,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0008,10,1.404779989896677
2024-02-18T17:31:16.234,45224673721681201448640997845741106351,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0004,10,0.0016093826937195698
2024-02-18T17:31:16.237,45670119012066774978493671124981980999,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0007,10,0.0023381482441479358
2024-02-18T17:31:16.24,44142958308542648050815165219138740241,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0004,10,0.6566473257804967
2024-02-18T17:31:16.447,44781107723310466271795424726913709643,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0009000000000000001,10,0.5824274213634991
2024-02-18T17:31:16.681,45109177283212782328267549064156137510,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0006000000000000001,10,3.0458290415600584
