time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,loss
2024-01-14T13:37:22.848,226257563896715673453177485621644781635,0,5,5,5,0.0,1.0,0.1,Diff,50.0,1.4398196481392833
2024-01-14T13:37:23.253,226578569473648217698248742968874868605,0,5,5,5,0.6000000000000001,1.0,0.1,Diff,50.0,0.3806613751829936
2024-01-14T13:37:23.574,226832897421290382221201486827704308767,0,5,5,5,0.7000000000000001,1.0,0.1,Diff,50.0,0.71835314222192
2024-01-14T13:37:23.764,226983003890271532575553082837085053522,0,5,5,5,0.0,1.0,0.1,Diff,50.0,0.642884438648369
2024-01-14T13:37:24.19,227321141765066161342072538908051698895,0,5,5,5,0.1,1.0,0.1,Diff,50.0,0.4795938655110869
2024-01-14T13:37:24.533,227592515651873269835672439947917578381,0,5,5,5,0.2,1.0,0.1,Diff,50.0,0.851366467848162
2024-01-14T13:37:24.856,227848367949362208803640700911632966422,0,5,5,5,0.7000000000000001,1.0,0.1,Diff,50.0,0.8755439506194078
2024-01-14T13:37:25.343,228234345373246200664596150041299292774,0,5,5,5,0.4,1.0,0.1,Diff,50.0,0.8116424951403844
2024-01-14T13:37:25.157,228087338309982608328756098906611477619,0,5,5,5,0.2,1.0,0.1,Diff,50.0,0.7046924522539064
2024-01-14T13:37:23.047,226415052845879902960416200910534269771,0,5,5,5,0.7000000000000001,1.0,0.1,Diff,50.0,0.3157789455399088
2024-01-14T13:37:25.156,228085757074315148641010336027623276700,0,5,5,5,0.30000000000000004,1.0,0.1,Diff,50.0,1.1138103104178123
2024-01-14T13:37:25.6,228437560856405537835593253436965324352,0,5,5,5,0.30000000000000004,1.0,0.1,Diff,50.0,0.8706008396215289
2024-01-14T13:37:25.499,228357685399803531959222688023118292698,0,5,5,5,0.4,1.0,0.1,Diff,50.0,1.0027509130023193
2024-01-14T13:37:25.983,228741254287547090182285984987775282077,0,5,5,5,0.30000000000000004,1.0,0.1,Diff,50.0,0.8288586800721575
2024-01-14T13:37:26.286,228981689735348703478697402933734859131,0,5,5,5,0.0,1.0,0.1,Diff,50.0,0.5507865469713129
2024-01-14T13:37:26.38,229055786923602219031991616148169065114,0,5,5,5,0.5,1.0,0.1,Diff,50.0,0.585530223488006
2024-01-14T13:37:26.144,228869055810391924725609391676472105376,0,5,5,5,0.4,1.0,0.1,Diff,50.0,1.2000152509079611
