time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,loss
2024-01-06T18:58:34.716,71567252437684551081062486772158558139,0,5,5,1,0.7853981633974483,1.0,0.1,4.079335682884135
2024-01-06T18:58:34.716,71567234215207172803520437017007449979,0,5,5,1,0.7853981633974483,1.0,0.1,0.3609468968541272
2024-01-06T18:58:34.716,71567252437684551080174130474058140546,0,5,5,1,0.7853981633974483,1.0,0.1,2.194824698228779
2024-01-06T18:58:34.717,71567305520553435638477591457575465874,0,5,5,2,0.7853981633974483,1.0,0.1,0.841303708410477
2024-01-06T18:58:34.716,71567257191374301939994589288544725798,0,5,5,2,0.7853981633974483,1.0,0.1,2.90016277913856
2024-01-06T18:58:34.716,71567325327594064203925124229498471275,0,5,5,2,0.7853981633974483,1.0,0.1,0.7968156401121635
2024-01-06T18:58:34.717,71567753159671641232855216323952643032,0,5,5,3,0.7853981633974483,1.0,0.1,1.5655132787318953
2024-01-06T18:58:34.717,71567475068821216164584089689724945961,0,5,5,4,0.7853981633974483,1.0,0.1,1.8572029899066747
2024-01-06T18:58:34.716,71567303302164885238338206359579627230,0,5,5,3,0.7853981633974483,1.0,0.1,1.2826030997035585
2024-01-06T18:58:34.717,71567388868580400646670221539512351955,0,5,5,3,0.7853981633974483,1.0,0.1,1.941907371807737
2024-01-06T18:58:34.717,71567383956434324759991139908919051826,0,5,5,4,0.7853981633974483,1.0,0.1,1.9236530090696848
2024-01-06T18:58:34.717,71567386333279200187136796613889401690,0,5,5,4,0.7853981633974483,1.0,0.1,1.7331925012399036
2024-01-06T18:58:34.716,71567386333279200187959182287903235442,0,5,5,5,0.7853981633974483,1.0,0.1,1.229079748968331
2024-01-06T18:58:34.717,71567387125560825330724791306509462724,0,5,5,5,0.7853981633974483,1.0,0.1,1.8971887469286872
2024-01-06T18:58:34.716,71567383956434324760796373782336300902,0,5,5,5,0.7853981633974483,1.0,0.1,1.6471559549967836
2024-01-06T18:58:36.659,71567252437684551081062486772158558139,5,5,5,1,0.7853981633974483,1.0,0.1,0.23048397618195082
2024-01-06T18:58:38.359,71567234215207172803520437017007449979,5,5,5,1,0.7853981633974483,1.0,0.1,0.06320239990861522
2024-01-06T18:58:38.709,71567252437684551080174130474058140546,5,5,5,1,0.7853981633974483,1.0,0.1,0.0768052059015929
2024-01-06T18:58:38.887,71567252437684551081062486772158558139,10,5,5,1,0.7853981633974483,1.0,0.1,0.21128015184642535
2024-01-06T18:58:40.108,71567305520553435638477591457575465874,5,5,5,2,0.7853981633974483,1.0,0.1,0.15033536733786035
2024-01-06T18:58:40.315,71567325327594064203925124229498471275,5,5,5,2,0.7853981633974483,1.0,0.1,0.13117013969562977
