behaviours,loss_median,var
1,0.044403681659082934,0.0036505154899484065
2,0.057948617603683306,0.0022181162195870387
3,0.05735433378165751,0.0014206570690005415
4,0.07548015298358043,0.000929825766345489
5,0.08365000366597165,0.0005687686816420525
