epochs,loss_mean
10,0.1035477606927682
20,0.09842469091517156
30,0.09487264165040234
40,0.0909818688891014
50,0.08859466030311045
60,0.0864734534105067
70,0.08414587996815723
80,0.08265368389404938
90,0.0810000142474003
100,0.0799717350173537
110,0.07982278116505175
120,0.07974492209312212
130,0.07905903064733032
140,0.07823261282140927
150,0.07740678290504939
160,0.07695883311101781
170,0.07634069012532314
180,0.0763163419688975
190,0.07610615653276838
200,0.07540329502620223
210,0.07462411073628039
220,0.07407510583928383
230,0.07394668209908628
240,0.0737814198524006
250,0.07365672567863535
260,0.07339388318847943
270,0.07311921173155964
280,0.07295859748633512
290,0.07276519866204645
300,0.07265430920507518
310,0.07263502931650875
320,0.07242345824903304
330,0.07224154841862654
340,0.07206285549929527
350,0.07176677179781635
360,0.07176422078174083
370,0.07165852003478809
380,0.07082565772726447
390,0.07061514208359194
400,0.07023938401044565
410,0.07018179932657269
420,0.06989967980160945
430,0.06981517289520658
440,0.06960946796035261
450,0.06941142863156823
460,0.06890518538840108
470,0.06870132676731695
480,0.06863324384998637
490,0.06855489655649154
500,0.06848761931088208
