frequency,amplitudeUntrained,amplitudeTrained
0.0,0.0,0.0
0.2,0.4400254393468466,0.2703323797691146
0.4,0.4995688291583799,0.31649014910586154
0.6,0.3669501451189978,0.32533920688977574
0.8,0.31839303762698073,0.3230723110795628
1.0,0.293006831469986,0.32401101820649636
1.2,0.267818789885534,0.29898472598636544
1.4,0.2413576551338051,0.24127418987233598
1.6,0.20014689158944096,0.2055925625608109
1.8,0.1906886727871795,0.19453554391113373
2.0,0.18098206597389588,0.20384796424587037
2.2,0.14501554732280683,0.23132388550831381
2.4,0.118528814947832,0.2586832825570144
2.6,0.08759362188802733,0.27892698332329263
2.8,0.11376261286075036,0.2952775006618961
3.0,0.13592359302528312,0.3030340033439141
3.2,0.13397365286841398,0.2938855250861347
